,sold_date,sold_price,bed_room,bath_room,property_sqft,property_alot,address
78,"Sold - Oct 20, 2023","$217,000$4.9k",4bed,2bath,"2,276sqft2,276 square feet",0.3acre lot0.3 acre lot,"1115 Oakdale AveJackson, MI 49203"
79,"Sold - Nov 2, 2023","$101,000",,,,"3,049sqft lot3,049 square foot lot","107 W Wilkins StJackson, MI 49203"
80,"Sold - Sep 15, 2023","$136,000",3bed,1bath,"1,442sqft1,442 square feet","8,712sqft lot8,712 square foot lot","1509 Daniel RdJackson, MI 49202"
81,"Sold - Nov 3, 2023","$90,000",3bed,1bath,"1,316sqft1,316 square feet",0.36acre lot0.36 acre lot,"1808 Carlton BlvdJackson, MI 49203"
82,"Sold - Aug 25, 2023","$184,900",2bed,1bath,"2,452sqft2,452 square feet","6,098sqft lot6,098 square foot lot","780 Oakridge DrJackson, MI 49203"
83,"Sold - Nov 14, 2023","$205,800",3bed,1bath,"1,411sqft1,411 square feet",0.59acre lot0.59 acre lot,"2600 McCain RdJackson, MI 49203"
84,"Sold - Oct 27, 2023","$79,900",2bed,1bath,672sqft672 square feet,"5,663sqft lot5,663 square foot lot","720 Seymour AveJackson, MI 49202"
85,"Sold - Jun 21, 2023","$670,000",5bed,3.5+bath,"6,011sqft6,011 square feet",1.06acre lot1.06 acre lot,"3403 Stonewall RdJackson, MI 49203"
86,"Sold - Jul 20, 2023","$180,000",3bed,1bath,"1,484sqft1,484 square feet","5,940sqft lot5,940 square foot lot","743 Carlton BlvdJackson, MI 49203"
87,"Sold - Sep 15, 2023","$19,900",,,,0.4acre lot0.4 acre lot,"3000 Kibby RdJackson, MI 49203"
88,"Sold - Nov 29, 2023","$290,000",7bed,3bath,"2,895sqft2,895 square feet",3.06acre lot3.06 acre lot,"6264 Draper RdJackson, MI 49201"
89,"Sold - Nov 28, 2023","$229,900$5k",3bed,2.5bath,"1,464sqft1,464 square feet",1acre lot1 acre lot,"2893 S Wood Dale DrJackson, MI 49203"
90,"Sold - Aug 11, 2023","$245,000",5bed,3bath,"3,247sqft3,247 square feet",2.06acre lot2.06 acre lot,"9547 State RdJackson, MI 49201"
91,"Sold - Jul 5, 2023","$195,200",3bed,2bath,"1,240sqft1,240 square feet","8,276sqft lot8,276 square foot lot","3435 Acacia BlvdJackson, MI 49203"
92,"Sold - Oct 27, 2023","$158,000$5k",4bed,1bath,"1,450sqft1,450 square feet","6,098sqft lot6,098 square foot lot","1308 Leroy StJackson, MI 49202"
93,"Sold - Nov 13, 2023","$174,500",2bed,2bath,"1,128sqft1,128 square feet",,"1927 Coventry Cir Unit 28Jackson, MI 49201"
94,"Sold - Aug 15, 2023","$80,000",4bed,1.5bath,"1,096sqft1,096 square feet","8,712sqft lot8,712 square foot lot","267 Douglas StJackson, MI 49203"
95,"Sold - Aug 3, 2023","$79,060",2bed,1.5bath,"1,600sqft1,600 square feet","3,049sqft lot3,049 square foot lot","1325 E North StJackson, MI 49202"
96,"Sold - Dec 1, 2023","$124,900$10k",3bed,1.5bath,"1,504sqft1,504 square feet","8,712sqft lot8,712 square foot lot","314 N Pleasant StJackson, MI 49202"
97,"Sold - Nov 1, 2023","$105,000",3bed,1bath,"1,280sqft1,280 square feet","5,663sqft lot5,663 square foot lot","829 Wells StJackson, MI 49202"
98,"Sold - Sep 29, 2023","$189,900",3bed,1bath,"1,569sqft1,569 square feet",0.29acre lot0.29 acre lot,"3509 Harding RdJackson, MI 49203"
99,"Sold - Oct 30, 2023","$155,000$5.1k",2bed,2bath,"1,120sqft1,120 square feet",,"1955 Coventry RdJackson, MI 49201"
100,"Sold - Nov 10, 2023","$154,000",4bed,1bath,"1,266sqft1,266 square feet","9,148sqft lot9,148 square foot lot","611 Edgewood StJackson, MI 49202"
101,"Sold - Oct 10, 2023","$204,000$5k",4bed,2bath,"1,634sqft1,634 square feet",0.24acre lot0.24 acre lot,"765 20th StJackson, MI 49203"
102,"Sold - Oct 13, 2023","$739,000",6bed,5.5bath,"6,284sqft6,284 square feet",1.4acre lot1.4 acre lot,"4940 Country LnJackson, MI 49201"
103,"Sold - Oct 20, 2023","$174,000",3bed,1.5bath,"1,892sqft1,892 square feet",0.29acre lot0.29 acre lot,"710 Griswold StJackson, MI 49203"
104,"Sold - Jul 25, 2023","$666,300",4bed,2bath,"4,192sqft4,192 square feet",5acre lot5 acre lot,"3780 Hawkins RdJackson, MI 49201"
105,"Sold - Sep 8, 2023","$369,000",3bed,2.5bath,"2,022sqft2,022 square feet",0.37acre lot0.37 acre lot,"858 Meadows DrJackson, MI 49203"
106,"Sold - Jul 17, 2023","$442,500",,2.5bath,"3,004sqft3,004 square feet",0.52acre lot0.52 acre lot,"1722 Probert RdJackson, MI 49203"
107,"Sold - Sep 27, 2023","$275,000",4bed,2bath,"1,882sqft1,882 square feet",0.29acre lot0.29 acre lot,"3142 John Glenn DrJackson, MI 49201"
108,"Sold - Jun 16, 2023","$255,000",4bed,2bath,"2,124sqft2,124 square feet",0.61acre lot0.61 acre lot,"3405 Pine Ridge DrJackson, MI 49201"
109,"Sold - Sep 1, 2023","$245,000",4bed,1.5bath,"1,761sqft1,761 square feet",0.42acre lot0.42 acre lot,"3812 Deerfield DrJackson, MI 49203"
110,"Sold - Sep 1, 2023","$370,000",4bed,3bath,"3,144sqft3,144 square feet",0.34acre lot0.34 acre lot,"1023 Engelhardt Strasse StJackson, MI 49201"
111,"Sold - Oct 13, 2023","$156,000$10k",2bed,1bath,"1,150sqft1,150 square feet","5,663sqft lot5,663 square foot lot","1826 Spring Arbor RdJackson, MI 49203"
112,"Sold - Dec 4, 2023","$55,000$28.4k",,,,5.04acre lot5.04 acre lot,"Vl Ridge RdJackson, MI 49201"
113,"Sold - Dec 1, 2023","$305,000$20k",3bed,2.5bath,"1,780sqft1,780 square feet",0.38acre lot0.38 acre lot,"838 Meadows DrJackson, MI 49203"
114,"Sold - Jul 14, 2023","$218,000",3bed,1bath,"1,481sqft1,481 square feet",0.32acre lot0.32 acre lot,"1245 Levant StJackson, MI 49203"
115,"Sold - Aug 18, 2023","$269,000",4bed,2.5bath,"2,884sqft2,884 square feet",0.33acre lot0.33 acre lot,"2138 Tamie WayJackson, MI 49203"
116,"Sold - Oct 13, 2023","$24,250",3bed,1.5+bath,"1,344sqft1,344 square feet","6,534sqft lot6,534 square foot lot","808 Cooley PlJackson, MI 49203"
117,"Sold - Nov 9, 2023","$115,000$5k",3bed,1.5bath,"1,518sqft1,518 square feet","5,663sqft lot5,663 square foot lot","603 S West AveJackson, MI 49203"
118,"Sold - Oct 5, 2023","$20,000",4bed,1.5bath,"1,568sqft1,568 square feet","6,098sqft lot6,098 square foot lot","1004 Williams StJackson, MI 49203"
119,"Sold - Nov 21, 2023","$230,000",2bed,2bath,"1,849sqft1,849 square feet",,"2809 S Wood Dale DrJackson, MI 49203"
120,"Sold - Aug 28, 2023","$60,000",,,,"4,792sqft lot4,792 square foot lot","2004 Sweet AveJackson, MI 49203"
121,"Sold - Sep 26, 2023","$124,900",3bed,2bath,"1,188sqft1,188 square feet",0.3acre lot0.3 acre lot,"534 St Clair AveJackson, MI 49202"
122,"Sold - Dec 7, 2023","$180,000",3bed,1bath,"1,798sqft1,798 square feet",0.54acre lot0.54 acre lot,"416 Bradley DrJackson, MI 49201"
123,"Sold - Aug 28, 2023","$164,900",3bed,1bath,902sqft902 square feet,0.24acre lot0.24 acre lot,"115 Cardinal CrstJackson, MI 49202"
124,"Sold - Sep 27, 2023","$295,000",3bed,2.5bath,"1,850sqft1,850 square feet",0.99acre lot0.99 acre lot,"102 Bentwood DrJackson, MI 49201"
125,"Sold - Dec 8, 2023","$205,000$10k",3bed,1.5bath,"1,092sqft1,092 square feet",0.6acre lot0.6 acre lot,"6005 Springfield DrJackson, MI 49201"
